link_id,length,link_name,DIR,FROM_NODE,TO_NODE,AB_CAPACIT,BA_CAPACIT,AB_FFT,BA_FFT,toll_ab,toll_ba,ALPHA,BETA,dir_name_ab,dir_name_ba,is_core
39432,0.0163,,0,20705,20708,400,400,0.0446,0.0446,,,1.5,3,北向南,南向北,1
13582,0.0832,圆岭路,0,20706,20697,1200,1200,0.1561,0.1561,,,1.1,3.5,东向西,西向东,1
39433,0.0045,,0,20706,20712,400,400,0.0124,0.0124,,,1.5,3,北向南,南向北,1
52895,0.0449,,0,20707,20708,400,400,0.1226,0.1226,,,1.5,3,西向东,东向西,1
52897,0.1466,,0,20709,20710,400,400,0.3997,0.3997,,,1.5,3,西向东,东向西,1
34924,0.1399,,0,20711,20563,400,400,0.3815,0.3815,,,1.5,3,北向南,南向北,1
39434,0.0769,,0,20712,20704,400,400,0.2096,0.2096,,,1.5,3,北向南,南向北,1
44307,0.1466,,0,20713,20709,400,400,0.3998,0.3998,,,1.5,3,北向南,南向北,1
5969,0.058,海滨大道中,-1,20714,20715,3000,3000,0.0774,0.0774,,,1.1,2.5,,南向北,1
5956,0.172,海滨大道中,-1,20715,20694,3000,3000,0.2294,0.2294,,,1.1,2.5,,南向北,1
5970,0.0285,海滨大道中,1,20716,20717,3000,3000,0.038,0.038,,,1.1,2.5,北向南,,1
54258,0.0285,海滨大道中,1,20717,20719,3000,3000,0.038,0.038,,,1.1,2.5,北向南,,1
5955,0.0396,海滨大道中,1,20718,20720,3000,3000,0.0527,0.0527,,,1.1,2.5,北向南,,1
5971,0.172,海滨大道中,1,20719,20695,3000,3000,0.2294,0.2294,,,1.1,2.5,北向南,,1
54254,0.0395,海滨大道中,1,20720,20716,3000,3000,0.0526,0.0526,,,1.1,2.5,北向南,,1
6196,0.0297,海滨大道中,1,20721,20718,3000,3000,0.0396,0.0396,,,1.1,2.5,北向南,,1
5968,0.0777,海滨大道中,-1,20722,20714,3000,3000,0.1036,0.1036,,,1.1,2.5,,南向北,1
21795,0.1236,海景路,0,20723,20724,1200,1200,0.2317,0.2317,,,1.1,3.5,南向北,北向南,1
14346,0.0958,海宁路,0,20724,20781,400,400,0.2613,0.2613,,,1.5,3,西向东,东向西,1
17668,0.0937,海景路,0,20724,20782,1200,1200,0.1757,0.1757,,,1.1,3.5,南向北,北向南,1
21940,0.1496,观海路,0,20725,20726,1200,1200,0.2804,0.2804,,,1.1,3.5,南向北,北向南,1
17452,0.0536,海昌北横路,0,20725,20764,400,400,0.1461,0.1461,,,1.5,3,东向西,西向东,1
29564,0.1788,,0,20727,20723,400,400,0.4876,0.4876,,,1.5,3,北向南,南向北,1
21793,0.0537,海宁路,0,20727,20724,400,400,0.1466,0.1466,,,1.5,3,西向东,东向西,1
39402,0.076,,0,20728,20729,400,400,0.2072,0.2072,,,1.5,3,北向南,南向北,1
39403,0.0879,,0,20729,20730,400,400,0.2398,0.2398,,,1.5,3,西向东,东向西,1
39405,0.0762,,0,20730,20731,400,400,0.2078,0.2078,,,1.5,3,南向北,北向南,1
39404,0.0243,,0,20731,20728,400,400,0.0663,0.0663,,,1.5,3,北向南,南向北,1
39407,0.2114,,0,20731,20732,400,400,0.5766,0.5766,,,1.5,3,北向南,南向北,1
39406,0.0854,,0,20732,20728,400,400,0.233,0.233,,,1.5,3,南向北,北向南,1
39408,0.02,,0,20732,20729,400,400,0.0544,0.0544,,,1.5,3,西向东,东向西,1
51096,0.2648,,0,20733,20734,400,400,0.7222,0.7222,,,1.5,3,南向北,北向南,1
50048,0.043,,0,20734,20780,400,400,0.1172,0.1172,,,1.5,3,南向北,北向南,1
53753,0.1248,海宁二横路,0,20735,20195,400,400,0.3405,0.3405,,,1.5,3,北向南,南向北,1
16285,0.0416,观海路,0,20736,20737,400,400,0.1134,0.1134,,,1.5,3,南向北,北向南,1
16286,0.1699,观海路,0,20737,20756,400,400,0.4634,0.4634,,,1.5,3,南向北,北向南,1
50047,0.1354,,0,20738,20739,400,400,0.3692,0.3692,,,1.5,3,南向北,北向南,1
51136,0.1187,,0,20739,20761,400,400,0.3238,0.3238,,,1.5,3,南向北,北向南,1
16287,0.0333,海淀路,0,20740,20736,400,400,0.0909,0.0909,,,1.5,3,西向东,东向西,1
49854,0.1503,,0,20741,20742,400,400,0.4099,0.4099,,,1.5,3,南向北,北向南,1
49853,0.089,,0,20741,20745,400,400,0.2428,0.2428,,,1.5,3,南向北,北向南,1
51550,0.1504,,0,20742,20743,400,400,0.4101,0.4101,,,1.5,3,西向东,东向西,1
49857,0.0292,,0,20743,20744,400,400,0.0796,0.0796,,,1.5,3,西向东,东向西,1
49858,0.0923,,0,20744,20736,400,400,0.2518,0.2518,,,1.5,3,南向北,北向南,1
51552,0.0891,,0,20745,20191,400,400,0.2431,0.2431,,,1.5,3,南向北,北向南,1
49881,0.0842,,0,20746,20738,400,400,0.2297,0.2297,,,1.5,3,南向北,北向南,1
49852,0.0243,,0,20747,20748,400,400,0.0662,0.0662,,,1.5,3,南向北,北向南,1
51554,0.0242,,0,20748,20741,400,400,0.0661,0.0661,,,1.5,3,南向北,北向南,1
14345,0.0608,海昌北横路,0,20749,20750,400,400,0.1658,0.1658,,,1.5,3,东向西,西向东,1
39411,0.0044,,0,20749,20765,400,400,0.0121,0.0121,,,1.5,3,南向北,北向南,1
35175,0.0339,,0,20750,20760,400,400,0.0923,0.0923,,,1.5,3,北向南,南向北,1
17451,0.0335,海昌北横路,0,20750,20763,400,400,0.0914,0.0914,,,1.5,3,东向西,西向东,1
17453,0.0993,观海路,0,20751,20752,1200,1200,0.1861,0.1861,,,1.1,3.5,南向北,北向南,1
17454,0.034,观海路,0,20752,20725,1200,1200,0.0637,0.0637,,,1.1,3.5,南向北,北向南,1
24748,0.0572,海景路,0,20753,20754,1200,1200,0.1073,0.1073,,,1.1,3.5,南向北,北向南,1
24745,0.0584,海昌路,0,20753,20762,1200,1200,0.1094,0.1094,,,1.1,3.5,西向东,东向西,1
33147,0.0773,,0,20754,20759,400,400,0.2109,0.2109,,,1.5,3,西向东,东向西,1
24750,0.14,海景路,0,20754,20763,1200,1200,0.2625,0.2625,,,1.1,3.5,南向北,北向南,1
24757,0.0876,海昌路,0,20755,20756,1200,1200,0.1643,0.1643,,,1.1,3.5,西向东,东向西,1
24752,0.049,观海路,0,20756,20751,1200,1200,0.0919,0.0919,,,1.1,3.5,南向北,北向南,1
26048,0.0951,,0,20757,20758,400,400,0.2594,0.2594,,,1.5,3,西向东,东向西,1
35178,0.0526,,0,20758,20752,400,400,0.1433,0.1433,,,1.5,3,西向东,东向西,1
35176,0.0337,,0,20758,20764,400,400,0.092,0.092,,,1.5,3,南向北,北向南,1
33148,0.1077,,0,20759,20751,400,400,0.2937,0.2937,,,1.5,3,西向东,东向西,1
33149,0.0508,,0,20759,20755,400,400,0.1387,0.1387,,,1.5,3,北向南,南向北,1
26047,0.0995,,0,20760,20757,400,400,0.2714,0.2714,,,1.5,3,北向南,南向北,1
35177,0.1081,,0,20760,20758,400,400,0.2948,0.2948,,,1.5,3,西向东,东向西,1
51728,0.1189,,0,20761,20733,400,400,0.3242,0.3242,,,1.5,3,南向北,北向南,1
24755,0.0272,海昌路,0,20762,20755,1200,1200,0.051,0.051,,,1.1,3.5,西向东,东向西,1
21782,0.0856,海昌北横路,0,20763,20195,400,400,0.2333,0.2333,,,1.5,3,东向西,西向东,1
21794,0.0696,海景路,0,20763,20723,1200,1200,0.1305,0.1305,,,1.1,3.5,南向北,北向南,1
14344,0.0473,海昌北横路,0,20764,20749,400,400,0.1289,0.1289,,,1.5,3,东向西,西向东,1
39412,0.029,,0,20765,20732,400,400,0.0791,0.0791,,,1.5,3,南向北,北向南,1
17475,0.1915,观海路,0,20766,20767,1200,1200,0.3591,0.3591,,,1.1,3.5,北向南,南向北,1
17476,0.0728,观海路,0,20767,20768,1200,1200,0.1366,0.1366,,,1.1,3.5,北向南,南向北,1
17670,0.0689,观海路,0,20768,20769,1200,1200,0.1292,0.1292,,,1.1,3.5,北向南,南向北,1
17671,0.1995,观海路,0,20769,20726,1200,1200,0.3741,0.3741,,,1.1,3.5,北向南,南向北,1
20389,0.2231,海景路,0,20770,20771,1200,1200,0.4182,0.4182,,,1.1,3.5,南向北,北向南,1
20388,0.1253,海景路,0,20771,20776,1200,1200,0.235,0.235,,,1.1,3.5,南向北,北向南,1
20385,0.1968,海静路,0,20771,20793,1200,1200,0.369,0.369,,,1.1,3.5,东向西,西向东,1
20729,0.0396,,0,20772,20773,400,400,0.1081,0.1081,,,1.5,3,北向南,南向北,1
